HOSTNAMES, CPUS, MEMORY, TMP_DISK, GRES
r1i3n13, 36, 85248, 900000, (null)
r1i3n14, 36, 85248, 900000, (null)
r1i3n15, 36, 85248, 900000, (null)
r1i3n16, 36, 85248, 900000, (null)
r1i3n17, 36, 85248, 900000, (null)
r1i3n18, 36, 85248, 900000, (null)
r1i3n19, 36, 85248, 900000, (null)
r1i3n20, 36, 85248, 900000, (null)
r1i3n21, 36, 85248, 900000, (null)
r1i3n22, 36, 85248, 900000, (null)
r1i3n23, 36, 85248, 900000, (null)
r1i3n24, 36, 85248, 900000, (null)
r1i3n25, 36, 85248, 900000, (null)
r1i3n26, 36, 85248, 900000, (null)
r1i3n27, 36, 85248, 900000, (null)
r1i3n28, 36, 85248, 900000, (null)
r1i3n29, 36, 85248, 900000, (null)
r1i3n30, 36, 85248, 900000, (null)
r1i3n31, 36, 85248, 900000, (null)
r1i3n32, 36, 85248, 900000, (null)
r1i3n33, 36, 85248, 900000, (null)
r1i3n34, 36, 85248, 900000, (null)
r1i3n35, 36, 85248, 900000, (null)
r1i4n0, 36, 85248, 900000, (null)
r1i4n1, 36, 85248, 900000, (null)
r1i4n2, 36, 85248, 900000, (null)
r1i4n3, 36, 85248, 900000, (null)
r1i4n4, 36, 85248, 900000, (null)
r1i4n5, 36, 85248, 900000, (null)
r1i4n6, 36, 85248, 900000, (null)
r1i4n7, 36, 85248, 900000, (null)
r1i4n8, 36, 85248, 900000, (null)
r1i4n9, 36, 85248, 900000, (null)
r1i4n10, 36, 85248, 900000, (null)
r1i4n11, 36, 85248, 900000, (null)
r1i4n12, 36, 85248, 900000, (null)
r1i4n13, 36, 85248, 900000, (null)
r1i4n14, 36, 85248, 900000, (null)
r1i4n15, 36, 85248, 900000, (null)
r1i4n16, 36, 85248, 900000, (null)
r1i4n17, 36, 85248, 900000, (null)
r1i4n18, 36, 85248, 900000, (null)
r1i4n19, 36, 85248, 900000, (null)
r1i4n20, 36, 85248, 900000, (null)
r1i4n21, 36, 85248, 900000, (null)
r1i4n22, 36, 85248, 900000, (null)
r1i4n23, 36, 85248, 900000, (null)
r1i4n24, 36, 85248, 900000, (null)
r1i4n25, 36, 85248, 900000, (null)
r1i4n26, 36, 85248, 900000, (null)
r1i4n27, 36, 85248, 900000, (null)
r1i4n28, 36, 85248, 900000, (null)
r1i4n29, 36, 85248, 900000, (null)
r1i4n30, 36, 85248, 900000, (null)
r1i4n31, 36, 85248, 900000, (null)
r1i4n32, 36, 85248, 900000, (null)
r1i4n33, 36, 85248, 900000, (null)
r1i4n34, 36, 85248, 900000, (null)
r1i4n35, 36, 85248, 900000, (null)
r1i5n3, 36, 85248, 900000, (null)
r1i5n5, 36, 85248, 900000, (null)
r1i5n6, 36, 85248, 900000, (null)
r1i5n7, 36, 85248, 900000, (null)
r1i5n8, 36, 85248, 900000, (null)
r1i5n10, 36, 85248, 900000, (null)
r1i5n14, 36, 85248, 900000, (null)
r1i5n15, 36, 85248, 900000, (null)
r1i5n17, 36, 85248, 900000, (null)
r1i5n19, 36, 85248, 900000, (null)
r1i5n20, 36, 85248, 900000, (null)
r1i5n21, 36, 85248, 900000, (null)
r1i5n22, 36, 85248, 900000, (null)
r1i5n23, 36, 85248, 900000, (null)
r1i5n24, 36, 85248, 900000, (null)
r1i5n25, 36, 85248, 900000, (null)
r1i5n26, 36, 85248, 900000, (null)
r1i5n27, 36, 85248, 900000, (null)
r1i5n28, 36, 85248, 900000, (null)
r1i5n29, 36, 85248, 900000, (null)
r1i5n30, 36, 85248, 900000, (null)
r1i5n31, 36, 85248, 900000, (null)
r1i5n32, 36, 85248, 900000, (null)
r1i5n33, 36, 85248, 900000, (null)
r1i5n34, 36, 85248, 900000, (null)
r1i5n35, 36, 85248, 900000, (null)
r1i6n1, 36, 85248, 900000, (null)
r1i6n2, 36, 85248, 900000, (null)
r1i6n3, 36, 85248, 900000, (null)
r1i6n4, 36, 85248, 900000, (null)
r1i6n5, 36, 85248, 900000, (null)
r1i6n6, 36, 85248, 900000, (null)
r1i6n7, 36, 85248, 900000, (null)
r1i6n8, 36, 85248, 900000, (null)
r1i6n10, 36, 85248, 900000, (null)
r1i6n11, 36, 85248, 900000, (null)
r1i6n12, 36, 85248, 900000, (null)
r1i6n13, 36, 85248, 900000, (null)
r1i6n14, 36, 85248, 900000, (null)
r1i6n15, 36, 85248, 900000, (null)
r1i6n16, 36, 85248, 900000, (null)
r1i6n17, 36, 85248, 900000, (null)
r1i6n19, 36, 85248, 900000, (null)
r1i6n20, 36, 85248, 900000, (null)
r1i6n21, 36, 85248, 900000, (null)
r1i6n22, 36, 85248, 900000, (null)
r1i6n23, 36, 85248, 900000, (null)
r1i6n24, 36, 85248, 900000, (null)
r1i6n25, 36, 85248, 900000, (null)
r1i6n26, 36, 85248, 900000, (null)
r1i6n28, 36, 85248, 900000, (null)
r1i6n29, 36, 85248, 900000, (null)
r1i6n30, 36, 85248, 900000, (null)
r1i6n31, 36, 85248, 900000, (null)
r1i6n32, 36, 85248, 900000, (null)
r1i6n33, 36, 85248, 900000, (null)
r1i6n34, 36, 85248, 900000, (null)
r1i6n35, 36, 85248, 900000, (null)
r1i7n0, 36, 85248, 900000, (null)
r1i7n1, 36, 85248, 900000, (null)
r1i7n2, 36, 85248, 900000, (null)
r1i7n3, 36, 85248, 900000, (null)
r1i7n4, 36, 85248, 900000, (null)
r1i7n5, 36, 85248, 900000, (null)
r1i7n6, 36, 85248, 900000, (null)
r1i7n7, 36, 85248, 900000, (null)
r1i7n10, 36, 85248, 900000, (null)
r1i7n11, 36, 85248, 900000, (null)
r1i7n12, 36, 85248, 900000, (null)
r1i7n13, 36, 85248, 900000, (null)
r1i7n14, 36, 85248, 900000, (null)
r1i7n15, 36, 85248, 900000, (null)
r1i7n16, 36, 85248, 900000, (null)
r1i7n17, 36, 85248, 900000, (null)
r1i7n18, 36, 85248, 900000, (null)
r1i7n19, 36, 85248, 900000, (null)
r1i7n20, 36, 85248, 900000, (null)
r1i7n21, 36, 85248, 900000, (null)
r1i7n22, 36, 85248, 900000, (null)
r1i7n23, 36, 85248, 900000, (null)
r1i7n24, 36, 85248, 900000, (null)
r1i7n25, 36, 85248, 900000, (null)
r1i7n26, 36, 85248, 900000, (null)
r1i7n27, 36, 85248, 900000, (null)
r1i7n28, 36, 85248, 900000, (null)
r1i7n29, 36, 85248, 900000, (null)
r1i7n30, 36, 85248, 900000, (null)
r1i7n31, 36, 85248, 900000, (null)
r1i7n32, 36, 85248, 900000, (null)
r1i7n33, 36, 85248, 900000, (null)
r1i7n34, 36, 85248, 900000, (null)
r2i0n0, 36, 85248, 900000, (null)
r2i0n1, 36, 85248, 900000, (null)
r2i0n2, 36, 85248, 900000, (null)
r2i0n3, 36, 85248, 900000, (null)
r2i0n4, 36, 85248, 900000, (null)
r2i0n5, 36, 85248, 900000, (null)
r2i0n6, 36, 85248, 900000, (null)
r2i0n7, 36, 85248, 900000, (null)
r2i0n9, 36, 85248, 900000, (null)
r2i0n10, 36, 85248, 900000, (null)
r2i0n11, 36, 85248, 900000, (null)
r2i0n12, 36, 85248, 900000, (null)
r2i0n13, 36, 85248, 900000, (null)
r2i0n15, 36, 85248, 900000, (null)
r2i0n16, 36, 85248, 900000, (null)
r2i0n17, 36, 85248, 900000, (null)
r2i0n18, 36, 85248, 900000, (null)
r2i0n19, 36, 85248, 900000, (null)
r2i0n20, 36, 85248, 900000, (null)
r2i0n21, 36, 85248, 900000, (null)
r2i0n22, 36, 85248, 900000, (null)
r2i0n23, 36, 85248, 900000, (null)
r2i0n24, 36, 85248, 900000, (null)
r2i0n25, 36, 85248, 900000, (null)
r2i0n26, 36, 85248, 900000, (null)
r2i0n27, 36, 85248, 900000, (null)
r2i0n28, 36, 85248, 900000, (null)
r2i0n29, 36, 85248, 900000, (null)
r2i0n30, 36, 85248, 900000, (null)
r2i0n31, 36, 85248, 900000, (null)
r2i0n32, 36, 85248, 900000, (null)
r2i0n33, 36, 85248, 900000, (null)
r2i0n34, 36, 85248, 900000, (null)
r2i0n35, 36, 85248, 900000, (null)
r2i1n0, 36, 85248, 900000, (null)
r2i1n1, 36, 85248, 900000, (null)
r2i1n2, 36, 85248, 900000, (null)
r2i1n3, 36, 85248, 900000, (null)
r2i1n4, 36, 85248, 900000, (null)
r2i1n5, 36, 85248, 900000, (null)
r2i1n6, 36, 85248, 900000, (null)
r2i1n7, 36, 85248, 900000, (null)
r2i1n8, 36, 85248, 900000, (null)
r2i1n9, 36, 85248, 900000, (null)
r2i1n10, 36, 85248, 900000, (null)
r2i1n11, 36, 85248, 900000, (null)
r2i1n12, 36, 85248, 900000, (null)
r2i1n13, 36, 85248, 900000, (null)
r2i1n14, 36, 85248, 900000, (null)
r2i1n15, 36, 85248, 900000, (null)
r2i1n16, 36, 85248, 900000, (null)
r2i1n17, 36, 85248, 900000, (null)
r2i1n18, 36, 85248, 900000, (null)
r2i1n19, 36, 85248, 900000, (null)
r2i1n20, 36, 85248, 900000, (null)
r2i1n21, 36, 85248, 900000, (null)
r2i1n22, 36, 85248, 900000, (null)
r2i1n23, 36, 85248, 900000, (null)
r2i1n24, 36, 85248, 900000, (null)
r2i1n25, 36, 85248, 900000, (null)
r2i1n26, 36, 85248, 900000, (null)
r2i1n27, 36, 85248, 900000, (null)
r2i1n28, 36, 85248, 900000, (null)
r2i1n29, 36, 85248, 900000, (null)
r2i1n30, 36, 85248, 900000, (null)
r2i1n31, 36, 85248, 900000, (null)
r2i1n32, 36, 85248, 900000, (null)
r2i1n33, 36, 85248, 900000, (null)
r2i1n34, 36, 85248, 900000, (null)
r2i1n35, 36, 85248, 900000, (null)
r2i2n0, 36, 85248, 900000, (null)
r2i2n1, 36, 85248, 900000, (null)
r2i2n2, 36, 85248, 900000, (null)
r2i2n3, 36, 85248, 900000, (null)
r2i2n4, 36, 85248, 900000, (null)
r2i2n5, 36, 85248, 900000, (null)
r2i2n6, 36, 85248, 900000, (null)
r2i2n7, 36, 85248, 900000, (null)
r2i2n8, 36, 85248, 900000, (null)
r2i2n9, 36, 85248, 900000, (null)
r2i2n10, 36, 85248, 900000, (null)
r2i2n11, 36, 85248, 900000, (null)
r2i2n12, 36, 85248, 900000, (null)
r2i2n13, 36, 85248, 900000, (null)
r2i2n14, 36, 85248, 900000, (null)
r2i2n15, 36, 85248, 900000, (null)
r2i2n16, 36, 85248, 900000, (null)
r2i2n17, 36, 85248, 900000, (null)
r2i2n18, 36, 85248, 900000, (null)
r2i2n19, 36, 85248, 900000, (null)
r2i2n20, 36, 85248, 900000, (null)
r2i2n22, 36, 85248, 900000, (null)
r2i2n23, 36, 85248, 900000, (null)
r2i2n24, 36, 85248, 900000, (null)
r2i2n25, 36, 85248, 900000, (null)
r2i2n26, 36, 85248, 900000, (null)
r2i2n27, 36, 85248, 900000, (null)
