run_id,run_id,experiment_id,slurm_job_id,start_time,update_time,node,size,depth,shape,dataset,learning_rate,batch_size,optimizer,is_gpu,batch,energy,run_time,filter_1,filter_2,filter_3,filter_3_stdevs,filter,start_time_int,start_offset,power,num_reps,std_power,std_energy,energy_overhead,non_overhead_energy,runtime_overhead,non_overhead_runtime
0027f496-4858-423c-a409-d3e2ca57d2e9,0027f496-4858-423c-a409-d3e2ca57d2e9,2102734,10343547,2022-09-30 12:47:36.634695+00:00,2022-09-30 13:21:20.688547+00:00,r7i2n32,8192,10,rectangle,connect_4,1e-04,256,Adam,0,energy_2_cpu,599995.2646469999,2024.053852,False,False,False,0.6115481915399013,False,1664542056634695000,647052911500000,296.4324610504483,1,286.4324610504483,579754.7261269998,14028.665572999802,565726.0605540001,52.8839136,1971.1699384
0028908d-49ea-4ffe-8873-bf133c5a5764,0028908d-49ea-4ffe-8873-bf133c5a5764,1878856,10370396,2022-10-02 06:14:58.015201+00:00,2022-10-02 06:17:29.247608+00:00,r6i0n16,1024,6,rectangle_residual,529_pollen,1e-04,256,Adam,0,energy_2_cpu,45801.18173799972,151.23240700000002,False,False,False,0.3809591982955673,False,1664691298015201000,796294292006000,302.85295755426097,1,302.85295755426097,45801.18173799972,14028.665572999802,31772.51616499992,52.8839136,98.34849340000002
002984aa-e522-46df-befb-a961398288a3,002984aa-e522-46df-befb-a961398288a3,1907456,10430837,2022-10-20 22:16:58.607361+00:00,2022-10-20 23:06:55.492354+00:00,r1i6n3,4096,14,wide_first_16x,connect_4,1e-04,256,Adam,0,energy_4_cpu_extra_shapes,982329.164213,2996.884993,False,False,False,0.3317035303088348,False,1666304218607361000,2409214884166000,327.78340393691576,1,327.78340393691576,982329.164213,14028.665572999802,968300.4986400001,52.8839136,2944.0010794
002a895e-cd92-4b43-9419-8ac11f98c043,002a895e-cd92-4b43-9419-8ac11f98c043,1915946,10430387,2022-10-21 00:32:16.534850+00:00,2022-10-21 05:50:46.790323+00:00,r6i3n21,16777216,18,wide_first_4x,adult,1e-04,256,Adam,0,energy_4_cpu_extra_shapes,6699535.296015001,19110.255473,False,False,False,0.5403595200547799,False,1666312336534850000,2417332811655000,350.57277520337004,1,350.57277520337004,6699535.296015002,14028.665572999802,6685506.630442002,52.8839136,19057.371559400002
002b9da0-87d6-4d59-a158-3650718dbe04,002b9da0-87d6-4d59-a158-3650718dbe04,1896394,10430464,2022-10-20 05:26:20.659569+00:00,2022-10-20 05:33:54.260212+00:00,r4i5n7,128,16,wide_first_8x,nursery,1e-04,256,Adam,0,energy_4_cpu_extra_shapes,147937.79649299977,453.6006430000001,False,False,False,0.0301963017729861,False,1666243580659569000,2348576936374000,326.1410643392755,1,326.1410643392755,147937.79649299977,14028.665572999802,133909.13091999997,52.8839136,400.7167294000001
0030778a-5071-4d46-8582-177844c613fb,0030778a-5071-4d46-8582-177844c613fb,1895402,10371177,2022-10-02 05:22:59.215231+00:00,2022-10-02 05:25:39.619595+00:00,r5i4n18,2048,6,wide_first_2x,wine_quality_white,1e-04,256,Adam,0,energy_2_cpu,47522.26453099968,160.40436400000002,False,False,False,1.109857156016163,False,1664688179215231000,793175492036000,296.2654091568212,4,296.2654091568212,47522.26453099968,14028.665572999802,33493.59895799988,52.8839136,107.52045040000002
00307e42-4aa4-4ebf-8cc9-482deb0f0fb8,00307e42-4aa4-4ebf-8cc9-482deb0f0fb8,2111894,10430542,2022-10-20 07:56:02.579157+00:00,2022-10-20 10:41:41.223974+00:00,r6i6n35,524288,14,trapezoid,sleep,1e-04,256,Adam,0,energy_3_cpu_extra_depths,3385359.542847,9938.644817,False,False,False,0.2523924881788597,False,1666252562579157000,2357558855962000,340.6258705468939,1,340.6258705468939,3385359.542847,14028.665572999802,3371330.877274,52.8839136,9885.7609034
003259bf-40f5-4235-86b0-c2beeb82abcf,003259bf-40f5-4235-86b0-c2beeb82abcf,2058488,10370481,2022-10-02 04:07:05.064620+00:00,2022-10-02 04:31:29.262264+00:00,r6i2n29,1048576,9,exponential,201_pol,1e-04,256,Adam,0,energy_2_cpu,450035.99626799993,1464.197644,False,False,False,0.134543002175648,False,1664683625064620000,788621341425000,307.3601423360847,1,307.3601423360847,450035.99626799993,14028.665572999802,436007.3306950001,52.8839136,1411.3137304000002
003599fb-537f-4c3b-87a1-3fde09773f3f,003599fb-537f-4c3b-87a1-3fde09773f3f,1896213,10430278,2022-10-20 08:18:43.140998+00:00,2022-10-20 08:32:51.123436+00:00,r2i2n1,1024,14,wide_first_8x,nursery,1e-04,256,Adam,0,energy_4_cpu_extra_shapes,316074.34008399997,847.982438,False,False,False,0.7178784653672349,False,1666253923140998000,2358919417803000,372.73689397326876,1,372.73689397326876,316074.34008399997,14028.665572999802,302045.67451100016,52.8839136,795.0985244
003ac063-56f7-436f-bc17-65e416ee4dd2,003ac063-56f7-436f-bc17-65e416ee4dd2,1878626,10430572,2022-10-20 20:43:04.181493+00:00,2022-10-20 22:15:54.430955+00:00,r5i1n32,4194304,20,rectangle_residual,537_houses,1e-04,256,Adam,0,energy_3_cpu_extra_depths,1939430.2947670002,5570.249462000001,False,False,False,0.5671137844275159,False,1666298584181493000,2403580458298000,348.1765597748735,1,348.1765597748735,1939430.2947670002,14028.665572999802,1925401.6291940005,52.8839136,5517.365548400001
