run_id,params,depth,epochs,batch_size,target,family,source_dataset,is_gpu,n_observations,n_features,n_classes,task_encoded,imbalance,power,duration,shape_exponential,shape_rectangle,shape_rectangle_residual,shape_trapezoid,shape_wide_first_16x,shape_wide_first_2x,shape_wide_first_4x,shape_wide_first_8x,group_key
0006e91f-3992-42ea-8c60-eaeb0ece0e0e,128,6,3000,256,137186.38368,MLP,BUTTER-E,0,15000.0,48.0,11.0,0.0,0.3746815528888889,313.6810564985137,437.34354,0,0,0,0,0,0,1,0,128|6|0|15000.0|wide_first_4x
000a2c53-1754-4082-8c02-c7b3f64de755,8388608,5,3000,256,305966.26255299983,MLP,BUTTER-E,0,4898.0,11.0,7.0,1.0,0.2119743377393727,364.74836626839175,838.842037,0,0,0,0,0,1,0,0,8388608|5|0|4898.0|wide_first_2x
001368ba-dcb4-49cd-9ec9-374aa080b2d1,4096,14,3000,256,69227.32419,MLP,BUTTER-E,0,4898.0,11.0,7.0,1.0,0.2119743377393727,302.53070572644765,228.827431,1,0,0,0,0,0,0,0,4096|14|0|4898.0|exponential
00182a76-aa48-483c-ac8f-2743ae150d1e,4194304,20,3000,256,7140575.773392,MLP,BUTTER-E,0,105908.0,13.0,5.0,1.0,0.1484938125639567,331.7136634794265,21526.323934,0,0,0,0,0,1,0,0,4194304|20|0|105908.0|wide_first_2x
001b0905-1e1c-4ca3-b0bf-165398cca281,8388608,16,3000,256,1821596.20422,MLP,BUTTER-E,0,20640.0,8.0,3842.0,0.0,0.0025041112046606,369.8626442909775,4925.061323,0,0,0,0,0,0,0,1,8388608|16|0|20640.0|wide_first_8x
001c3cfc-d5d5-4496-97b9-d5c1808d7380,64,4,3000,256,63968.75854499988,MLP,BUTTER-E,0,4898.0,11.0,7.0,1.0,0.2119743377393727,315.57345898942367,202.706396,0,0,1,0,0,0,0,0,64|4|0|4898.0|rectangle_residual
00200be0-70ce-4eed-a102-4c0f98d22da5,16777216,20,3000,256,914899.650886,MLP,BUTTER-E,0,6435.0,36.0,6.0,0.0,0.0276087321122286,375.8074028420539,2434.490763,0,0,0,0,0,1,0,0,16777216|20|0|6435.0|wide_first_2x
00227e24-ef0a-45fe-8b5b-c86466bf4130,2048,12,3000,256,91915.1142599999,MLP,BUTTER-E,0,5300.0,2.0,2.0,1.0,0.0106907796368814,293.2986823194544,313.384,0,0,0,0,1,0,0,0,2048|12|0|5300.0|wide_first_16x
00229559-61c6-4be2-b874-ab53466f78c1,256,2,3000,256,49816.95410999988,MLP,BUTTER-E,0,5300.0,2.0,2.0,1.0,0.0106907796368814,281.0196512156893,177.272137,0,1,0,0,0,0,0,0,256|2|0|5300.0|rectangle
0026036f-6149-4b95-bd07-e348e2f63b96,32768,10,3000,256,322731.5038989998,MLP,BUTTER-E,0,15000.0,48.0,11.0,0.0,0.3746815528888889,312.59476282978346,1032.427738,0,1,0,0,0,0,0,0,32768|10|0|15000.0|rectangle
