n_observations,n_test,mape,r2_raw,r2_log,tau
3188.0,2835,0.6076643005664892,-0.43732563316299555,0.6744518073175971,0.7762756045561707
3848.0,3502,0.13137785755323583,0.5177984624149579,0.9369465237173334,0.8326031639999033
4898.0,3313,0.132216647898484,0.9500283953515508,0.9580418471212774,0.855828333812927
5300.0,3484,0.1410958836279454,0.25773080175867935,0.8867445280206843,0.8271950599477513
6435.0,3229,0.21143828888534488,0.8143386398720371,0.8411261016578102,0.8202582937762296
12958.0,2877,0.3072367607296687,0.4214252226543924,0.8434865227971022,0.8480087717700183
15000.0,3172,0.10247270065726306,0.9045849001052949,0.9520128997375834,0.8579933809920666
20640.0,3473,0.25922001607683026,0.4191927606361885,0.7492004350983413,0.8345126409349067
48842.0,2762,0.7214592596170283,-0.12647244219747522,0.36474494564959214,0.8634578145433646
67557.0,3074,0.1823527938483776,0.8464945788010984,0.8767357325792167,0.877413024435704
70000.0,2476,0.2719949315624814,0.7478284662627417,0.8041677200515067,0.8233066997953754
105908.0,2858,0.39072049180485174,0.5326912569708988,0.364784723707961,0.8814075631253904
