test,flops,mape,r2,tau
EC-NAS within-family,original,0.055635236677636375,0.9583817856178052,0.8611435381655409
EC-NAS within-family,corrected,0.055857852793374026,0.9581643981877606,0.8607987001512811
EC-NAS -> BUTTER-E,original,0.8482007351820062,-0.38595368954457276,0.263029690144895
EC-NAS -> BUTTER-E,corrected,0.8686783612039602,-0.41451794291648114,0.26022907799522743
BUTTER-E -> EC-NAS,original,7.727175467918203,-503.49222555435273,0.6525354376446247
BUTTER-E -> EC-NAS,corrected,11.078350909719553,-843.2891246386803,0.6143477600474163
